285,   Candy_Wind, 7.000,0.048,0.001
941,       胡彦斌, 7.000,0.048,0.001
991,       董昱昆, 7.000,0.048,0.001
283,   Mu, 7.000,0.048,0.001
 98,   电鸟个灯泡, 7.000,0.048,0.001
711,玥霖Gabrielle, 7.000,0.048,0.001
636,     曾大块儿, 7.000,0.048,0.001
1241, Fran, 7.000,0.048,0.001
258,       FarEastMovement, 7.000,0.048,0.001
885, 知性的小方块, 7.000,0.048,0.001
 42,       李潇潇, 7.000,0.048,0.001
1249,     封茗囧菌, 7.000,0.048,0.001
444,     Zeraphym, 7.000,0.048,0.001
1173,Grams, 7.000,0.048,0.001
1285,       谭维维, 6.000,0.041,0.001
655,     痛仰乐队, 6.000,0.041,0.001
1008, 泠风, 6.000,0.041,0.001
167, EXIA, 6.000,0.041,0.001
920,       杨宗纬, 6.000,0.041,0.001
332, 汪峰, 6.000,0.041,0.001
1370, a$ce, 6.000,0.041,0.001
306,       依兴驰, 6.000,0.041,0.001
907,     Shahimerdan麦尔丹, 6.000,0.041,0.001
468,      AniFace, 6.000,0.041,0.001
241,       复乐班, 6.000,0.041,0.001
494, 任和, 6.000,0.041,0.001
1380,     康妮啊啊, 6.000,0.041,0.001
1308,       翁大涵, 6.000,0.041,0.001
1246,     纣王老胡, 6.000,0.041,0.001
969,       千月兔, 6.000,0.041,0.001
943,   安子与九妹, 6.000,0.041,0.001
1345,   笛在月明楼, 6.000,0.041,0.001
1084,    Soulspeak, 6.000,0.041,0.001
967,InfiniteMusic, 6.000,0.041,0.001
462,   流浪的蛙蛙, 6.000,0.041,0.001
236, 半梦, 6.000,0.041,0.001
1569, 小皮, 6.000,0.041,0.001
300,     四季音色, 6.000,0.041,0.001
676,       简弘亦, 6.000,0.041,0.001
263,  ZER, 6.000,0.041,0.001
1314,   李想Evelyn, 6.000,0.041,0.001
625,   与非门乐队, 6.000,0.041,0.001
677,       Tolein, 6.000,0.041,0.001
190,     澄海伯伯, 6.000,0.041,0.001
1599, 贰婶, 6.000,0.041,0.001
411,       薛明媛, 6.000,0.041,0.001
447, Sula, 6.000,0.041,0.001
887, 李粟, 6.000,0.041,0.001
1430,     蘑菇兄弟, 6.000,0.041,0.001
185,       月代彩, 6.000,0.041,0.001
938,      Assen捷, 6.000,0.041,0.001
1038,  MewlanMemtimin买吾兰, 6.000,0.041,0.001
911, 谦木, 6.000,0.041,0.001
 18, 张蔷, 6.000,0.041,0.001
1074, 守麦, 6.000,0.041,0.001
 58,       Miguel, 6.000,0.041,0.001
210,     KBShinya, 6.000,0.041,0.001
410,     百慕三石, 6.000,0.041,0.001
 70,       少年霜, 6.000,0.041,0.001
685,     Namunong, 6.000,0.041,0.001
825, 余枫, 6.000,0.041,0.001
999,   马里奥赛德, 6.000,0.041,0.001
1024,       栗先达, 6.000,0.041,0.001
178,       GC国丞, 5.000,0.035,0.001
255,     KingStar, 5.000,0.035,0.001
1408,  杨和苏KeyNG, 5.000,0.035,0.001
656,     何故乐队, 5.000,0.035,0.001
253,       林斜阳, 5.000,0.035,0.001
681,ETAGI, 5.000,0.035,0.001
1459,       孟庭苇, 5.000,0.035,0.001
358,     Marycobi, 5.000,0.035,0.001
1158, 后弦, 5.000,0.035,0.001
1056,    SkyLights, 5.000,0.035,0.001
1009,     _Stefano, 5.000,0.035,0.001
1194,       季彦霖, 5.000,0.035,0.001
894, 丁乔, 5.000,0.035,0.001
616,      Winky诗, 5.000,0.035,0.001
1217,       大张伟, 5.000,0.035,0.001
187, 任升, 5.000,0.035,0.001
1479, 弦子, 5.000,0.035,0.001
454,       叶洛洛, 5.000,0.035,0.001
1383,  SAM努尔夏提, 5.000,0.035,0.001
1145,     M-PHOTOS, 5.000,0.035,0.001
1438,       孟慧圆, 5.000,0.035,0.001
1268,       王宇良, 5.000,0.035,0.001
388,       陈致逸, 5.000,0.035,0.001
265, 庆庆, 5.000,0.035,0.001
729,       Koowho, 5.000,0.035,0.001
 74,       黄诗扶, 5.000,0.035,0.001
1090,   酷癌KooEye, 5.000,0.035,0.001
965, 锦零, 5.000,0.035,0.001
485,  啊晗Britany, 5.000,0.035,0.001
163,       邱有句, 5.000,0.035,0.001
917,       Mllano, 5.000,0.035,0.001
